NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
LMIRT CAP S$75M4.1%N200622                                  SG6YB4000009        31NB      LMIRT n4.1%200622S
LMIRT CAP US$250M7.25%N240619                               XS2010198260        UFXB      LMIRT n7.25%240619S
LODHA DEV US$225M14%N230312                                 XS2125431101        TQYB      LodhaDev n14%230312S
LOGANPTYH S$200M6.125%N210416                               XS1801897189        8RDB      LoganPHn6.125%210416S
LOGANPTYH US$250M6.375%N210307                              XS1772325210        8LJB      LoganPtyHdn6.375%210307S
LOGANPTYH US$300M6.875%N210424                              XS1808311424        8SSB      LoganPHn6.875%210424S
LOGANPTYH US$300M7.5%N210827                                XS1870205819        8E7B      LoganPtyHdn7.5%210827S
LOGANPTYH US$370M8.75%N201212                               XS1920256564        ZIYB      LoganPtyHdn8.75%201212S
LOGANPTYHLD US$400M6.5%N230716                              XS2027337786        IAMB      LoganPtyHdn6.5%230716S
LOGANPTYHLDUS$300M7.5%N220825                               XS1954961295        UQUB      LoganPtyHdn7.5%220825S
LOGANPTYHLDUS$350M 7%PERCAPSEC                              XS1619838292        71TB      LoganPtyH 7%PerCapSecS
LOGANPTYHLDUS$450M5.25%N230223                              XS1618597535        71MB      LoganPtyHdn5.25%230223S
LONCIN CNY800M4.5%B191205                                   HK0000316965        65UB      Loncin b4.5%191205S
LONGFOR US$250M3.375%N270413                                XS2098539815        51RB      Longfor n3.375%270413S
LONGFOR US$300M3.9%N230416                                  XS1743535228        8EZB      Longfor n3.9%230416S
LONGFOR US$400M3.85%N320113                                 XS2098650414        V6MB      Longfor n3.85%320113S
LONGFOR US$450M3.875%N220713                                XS1633950453        76ZB      Longfor n3.875%220713S
LONGFOR US$500M4.5%N280116                                  XS1743535491        8FGB      Longfor n4.5%280116S
LONGFOR US$850M3.95%N290916                                 XS2033262895        QOOB      Longfor n3.95%290916S
LONZA GROUP LTD                                             CH0013841017        O6Z       Lonza
LORENZO INTERNATIONAL LIMITED                               SG1T35930281        5IE       Lorenzo Intl^
LOTTEPROP US$300M F220806                                   XS2036534761        XWOB      Lotte Prop f220806S
LOTTEPROP USD200M F210807                                   XS1852560819        MARB      Lotte Prop f210807S
LOTTESHOP US$300M2.375%N200905                              XS1666596397        7U6B      Lotte Shopn2.375%200905S
LOTTESHOP WON303.6B Z230404                                 XS1794196888        8QFB      Lotte Shop z230404S
LOW KENG HUAT (SINGAPORE) LTD                               SG1W86940333        F1E       Low Keng Huat
LTA S$1.4B3.3%N540603                                       SGXF78062167        WCEB      LTA n3.3%540603S
LTA S$1.5B3.38%N590130                                      SGXF85817918        JEZB      LTA n3.38%590130S
LTA S$1.5B3.45%N580730                                      SGXF97820520        PJEB      LTA n3.45%580730S
LTA S$1B3.43%N531030                                        SGXF85026841        LWCB      LTA n3.43%531030S
LTA S$200M2.9%N230619                                       SG7194910969        702B      LTA n2.9%230619 S
LTA S$275M 2.71%N200527                                     SG7W45958271        4GCB      LTA n2.71%200527S
LTA S$300M2.75%N280319                                      SG7NG5000008        8NFB      LTA n2.75%280319S
LTA S$500M 3.275%B251029                                    SG7Y18963686        4MUB      LTA b3.275%251029S
LTA S$600M2.57%N220831                                      SG6ZA1000001        34QB      LTA n2.57%220831S
LTA S$600M3.09%N270831                                      SG6ZA0000002        34PB      LTA n3.09%270831S
LTA S$650M2.73%N200918                                      SG6ZB8000002        35IB      LTA n2.73%200918S
LTA S$650M3.51%N300918                                      SG6ZB7000003        35HB      LTA n3.51%300918S
LTA S$900M3.35%N480319                                      SG7NG6000007        8NGB      LTA n3.35%480319S
LTC GB USD400M2.75%B210526                                  XS1412748136        4C8B      LTC GB b2.75%210526S
LUCENT US$1.36B6.45%DEB290315                               US549463AE75        762B      Lucent d6.45%290315S
LUM CHANG HOLDINGS LIMITED                                  SG1E20001293        L19       Lum Chang
LUM CHANG S$40M 5.8%N210927                                 SGXF92536923        KXXB      Lum Chang n5.8%210927S
LUNG KEE (BERMUDA) HLDGS LTD                                BMG5697D1011        L09       Lung Kee Bermuda
LUXKING GROUP HOLDINGS LIMITED                              BMG570141058        BKK       Luxking
LUZHOU BIO-CHEM TECHNOLOGY LTD                              SG1S94928862        L46       Luzhou Bio-Chem^
LY CORPORATION LIMITED                                      SG1EC1000003        1H8       LY Corp
LYXOR ASIA 10                                               LU1900068674        P60       Lyxor Asia US$
LYXOR CHINA H 10                                            LU1900069136        P58       Lyxor ChinaH US$
LYXOR ETF MSCI EMERGING MKT 10                              FR0010435297        H1N       Lyxor EM Mkt US$
LYXOR ETF MSCI INDIA 10                                     FR0010375766        G1N       Lyxor MSIndia US$
M DEVELOPMENT LTD.                                          SG1M54904800        N14       M Development^
MACQUARIE AUD12.5M4.35%N450429                              XS1222628122        28UB      MacquarieBkn4.35%450429S
MACQUARIE CNH100M4.6%N210227                                XS1776214634        8KHB      MacquarieBkn4.6%210227S
MACQUARIE CNY150M3.6%N260808                                XS2033401097        UIYB      MacquarieBkn3.6%260808S
MACQUARIE CNY169M3.46%N250113                               XS2095299710        QRHB      MacquarieBkn3.46%250113S
MACQUARIEBANK US$100M Z450923                               XS1292931281        35QB      MacquarieBank z450923S
MACQUARIEBANK US$50M ZN440619                               XS1076880050        11BB      MacquarieBank zn440619S
MACQUARIEBANK US$50M ZN440620                               XS1077216908        11CB      MacquarieBank zn440620S
MACQUARIEBK USD750M6.125%CAPSA                              US55608XAC11        6F5B      MacquarieBk6.125%CapSecA
MACQUARIEBK USD750M6.125%CAPSR                              US55608YAC93        6F6B      MacquarieBk6.125%CapSecR
MACROLINK USD168M9.5%N210104                                XS1920453989        HTIB      Macrolink n9.5%210104S
MACROLINK USD40.4M9.5%N210104T                              XS2022239235        OPBB      Macrolink n9.5%210104T
MAGNUS ENERGY GROUP LTD.                                    SG1AI2000007        41S       Magnus Energy
MAIWAI FUND                                                 SG9043000000        TY3       Maiwai Fund USD S
MAJAPAHIT US$750M8%N190807A                                 US56068TAE73        3YDB      Majapahn8%190807A
MAJAPAHIT US$750M8%N190807R                                 USN54360AE78        3YCB      Majapahn8%190807R
MAJAPAHITUS$1.25B7.75%N200120A                              US56068TAF49        4ADB      Majapahn7.75%200120A
MAJAPAHITUS$1.25B7.75%N200120R                              USN54360AF44        4AEB      Majapahn7.75%200120R
MAJAPAHITUS$500M7.875%N370629A                              US56068TAD90        3IGB      Majapah7.875%370629A
MAJAPAHITUS$500M7.875%N370629R                              USN54360AD95        3IHB      Majapah7.875%370629R
MALAYSIA SMELTING CORP BHD                                  MYL5916OO001        NPW       MSC
MALDIVES US$200M7%N220607                                   XS1617562290        72LB      Maldives n7%220607S
MANAPPURAM US$300M5.9%N230113                               XS2090080172        YHZB      Manappuram n5.9%230113S
MANDARIN ORIENTAL INTL LTD                                  BMG578481068        M04       Man Oriental USD
MANHATTAN RESOURCES LIMITED                                 SG1I14879601        L02       Manhattan Res^
MANILACAVITEUS$160M12%N220915A                              US563244AA01        4JUB      ManilaCav12%n220915A
MANILACAVITEUS$160M12%N220915R                              USG5800VAA38        4JVB      ManilaCav12%n220915R
MANULIFE US REIT                                            SG1CI1000004        BTOU      ManulifeReit USD
MANULIFEFIN S$500M3%N291121                                 XS1717080524        85LB      ManulifeFin n3%291121S
MANULIFEFIN S$500M3.85%N260525                              XS1405757631        4C6B      ManulifeFin3.85%n260525S
MAPLEINDTTRES$100M3.16%N240328                              SG79H7000008        6J7B      MapleIndTTrn3.16%240328S
MAPLETREE COMMERCIAL TRUST                                  SG2D18969584        N2IU      Mapletree Com Tr
MAPLETREE INDUSTRIAL TRUST                                  SG2C32962814        ME8U      Mapletree Ind Tr
MAPLETREE LOGISTICS TRUST                                   SG1S03926213        M44U      Mapletree Log Tr
MAPLETREE NORTH ASIA COMM TR                                SG2F55990442        RW0U      Mapletree NAC Tr
MAPLETREECOMMS$160M3.6%200824                               SG6W19984585        2GZB      MapleTCn3.6%200824S
MAPLETREECOMS$175M3.11%N260824                              SG74C8000009        4P8B      MapleComTr n3.11%260824S
MAPLETREECOMS$250M3.05%N291122                              SGXF51034522        9TYB      MapleComTrn3.05%291122S
MAPLETREECOMS$85M2.795%N231115                              SG76F2000003        61NB      MapleComTrn2.795%231115S
MAPLETREECOS$100M3.045%N270827                              SG7FH4000003        7J3B      MapleComTrn3.045%270827S
MAPLETREECOS$120M3.28%N240923                               SG7NG9000004        8NJB      MapleComTrn3.28%240923S
MAPLETREECTTS$100M3.25%N230203                              SG6VE4000009        23UB      MapleComTT n3.25%230203S
MAPLETREEITTS$125M3.58%N290326                              SGXF53577940        Z2VB      MapletreeITT3.58%290326S
MAPLETREELOG S$250M4.18% PERP                               SG72D0000009        4C5B      MapletreeLog4.18%PS
MAPLETREELOGT S$180M3.65%PERP                               SG7HE5000005        80EB      MapletreeLogT 3.65%PS
MAPLETREENACTHK$550M2.8%200211                              XS1188664103        24JB      MapleNACTre n2.8%200211S
MAPLETREENACTRES$75M3.2%210908                              SG6SF6000000        15AB      MapleNACTre n3.2%210908S
MAPLETREENACTS$100M3.43%220309                              SG6VI0000004        25GB      MapleNACT n3.43%220309S
MAPLETREENACTS$100M3.96%221109                              SG6ZH7000000        37BB      MapleNACT n3.96%221109S
MAPLETREENACTS$120M3.5%230322                               SG71E6000003        3U0B      MapleNACT n3.5%230322S
MAPLETREETREAHK$300M 3%N200605                              XS0940301459        2WIB      MapleTTn3%200605S
MAPLETREETREAS$625M4.5%PERSEC                               SG78A5000007        67GB      MapletreeTrea4.5%PerSecS
MAPLETREETRES$300M2.85%N250829                              SG7FH7000000        7J6B      MapletreeTn2.85%250829S
MAPLETREETRES$300M3.15%N310903                              SGXF65562575        FFYB      MapletreeTSn3.15%310903S
MAPLETREETRES$700M3.95%PERSEC                               SG7BB1000008        6W8B      MapletreeTre3.95%PerSecS
